"14.17.96.0",11,7,"00110006"
"14.17.96.128",11,7,"00110006"
"14.17.97.0",11,7,"00110006"
"14.17.97.128",11,7,"00110006"
"14.17.98.0",11,7,"00110006"
"14.17.98.128",11,7,"00110006"
"14.17.99.0",11,7,"00110006"
"14.17.99.128",11,7,"00110006"
"14.17.100.0",11,7,"00110006"
"14.17.100.128",11,7,"00110006"
"14.17.101.0",11,7,"00110006"
"14.17.101.128",11,7,"00110006"
"14.17.102.0",11,7,"00110006"
"14.17.102.128",11,7,"00110006"
"14.17.103.0",11,7,"00110006"
"14.17.103.128",11,7,"00110006"
"14.17.104.0",11,7,"00110006"
"14.17.104.128",11,7,"00110006"
"14.17.105.0",11,7,"00110006"
"14.17.105.128",11,7,"00110006"
"14.17.106.0",11,7,"00110006"
"14.17.106.128",11,7,"00110006"
"14.17.107.0",11,7,"00110006"
"14.17.107.128",11,7,"00110006"
"14.17.108.0",11,7,"00110006"
"14.17.108.128",11,7,"00110006"
"14.17.109.0",11,7,"00110006"
"14.17.109.128",11,7,"00110006"
"14.17.110.0",11,7,"00110006"
"14.17.110.128",11,7,"00110006"
"14.17.111.0",11,7,"00110006"
"14.17.111.128",11,7,"00110006"
"14.17.112.0",11,7,"00110006"
"14.17.112.128",11,7,"00110006"
"14.17.113.0",11,7,"00110006"
"14.17.113.128",11,7,"00110006"
"14.18.168.0",11,7,"00110006"
"14.18.168.128",11,7,"00110006"
"14.18.169.0",11,7,"00110006"
"14.18.169.128",11,7,"00110006"
"14.18.170.0",11,7,"00110006"
"14.18.170.128",11,7,"00110006"
"14.18.171.0",11,7,"00110006"
"14.18.171.128",11,7,"00110006"
"14.18.172.0",11,7,"00110006"
"14.18.172.128",11,7,"00110006"
"14.18.173.0",11,7,"00110006"
"14.18.173.128",11,7,"00110006"
"14.18.174.0",11,7,"00110006"
"14.18.174.128",11,7,"00110006"
"14.18.175.0",11,7,"00110006"
"14.18.175.128",11,7,"00110006"
"14.18.176.0",11,7,"00110006"
"14.18.176.128",11,7,"00110006"
"14.18.177.0",11,7,"00110006"
"14.18.177.128",11,7,"00110006"
"14.18.178.0",11,7,"00110006"
"14.18.178.128",11,7,"00110006"
"14.18.179.0",11,7,"00110006"
"14.18.179.128",11,7,"00110006"
"14.18.180.0",11,7,"00110006"
"14.18.180.128",11,7,"00110006"
"14.18.181.0",11,7,"00110006"
"14.18.181.128",11,7,"00110006"
"14.18.182.0",11,7,"00110006"
"14.18.182.128",11,7,"00110006"
"14.18.183.0",11,7,"00110006"
"14.18.183.128",11,7,"00110006"
"14.18.184.0",11,7,"00110006"
"14.18.184.128",11,7,"00110006"
"14.18.185.0",11,7,"00110006"
"14.18.185.128",11,7,"00110006"
"14.18.186.0",11,7,"00110006"
"14.18.186.128",11,7,"00110006"
"14.18.187.0",11,7,"00110006"
"14.18.187.128",11,7,"00110006"
"14.18.188.0",11,7,"00110006"
"14.18.188.128",11,7,"00110006"
"14.18.189.0",11,7,"00110006"
"14.18.189.128",11,7,"00110006"
"14.18.190.0",11,7,"00110006"
"14.18.190.128",11,7,"00110006"
"14.18.191.0",11,7,"00110006"
"14.18.191.128",11,7,"00110006"
"14.123.32.0",11,7,"00110006"
"14.123.32.128",11,7,"00110006"
"14.123.33.0",11,7,"00110006"
"14.123.33.128",11,7,"00110006"
"14.123.34.0",11,7,"00110006"
"14.123.34.128",11,7,"00110006"
"14.123.35.0",11,7,"00110006"
"14.123.35.128",11,7,"00110006"
"14.123.36.0",11,7,"00110006"
"14.123.36.128",11,7,"00110006"
"14.123.37.0",11,7,"00110006"
"14.123.37.128",11,7,"00110006"
"14.123.38.0",11,7,"00110006"
"14.123.38.128",11,7,"00110006"
"14.123.39.0",11,7,"00110006"
"14.123.39.128",11,7,"00110006"
"14.123.40.0",11,7,"00110006"
"14.123.40.128",11,7,"00110006"
"14.123.41.0",11,7,"00110006"
"14.123.41.128",11,7,"00110006"
"14.123.42.0",11,7,"00110006"
"14.123.42.128",11,7,"00110006"
"14.123.43.0",11,7,"00110006"
"14.123.43.128",11,7,"00110006"
"14.123.44.0",11,7,"00110006"
"14.123.44.128",11,7,"00110006"
"14.123.45.0",11,7,"00110006"
"14.123.45.128",11,7,"00110006"
"14.123.46.0",11,7,"00110006"
"14.123.46.128",11,7,"00110006"
"14.123.47.0",11,7,"00110006"
"14.123.47.128",11,7,"00110006"
"14.123.48.0",11,7,"00110006"
"14.123.48.128",11,7,"00110006"
"14.123.49.0",11,7,"00110006"
"14.123.49.128",11,7,"00110006"
"14.123.50.0",11,7,"00110006"
"14.123.50.128",11,7,"00110006"
"14.123.51.0",11,7,"00110006"
"14.123.51.128",11,7,"00110006"
"14.123.52.0",11,7,"00110006"
"14.123.52.128",11,7,"00110006"
"14.123.53.0",11,7,"00110006"
"14.123.53.128",11,7,"00110006"
"14.123.54.0",11,7,"00110006"
"14.123.54.128",11,7,"00110006"
"14.123.55.0",11,7,"00110006"
"14.123.55.128",11,7,"00110006"
"14.123.56.0",11,7,"00110006"
"14.123.56.128",11,7,"00110006"
"14.123.57.0",11,7,"00110006"
"14.123.57.128",11,7,"00110006"
"14.123.58.0",11,7,"00110006"
"14.123.58.128",11,7,"00110006"
"14.123.59.0",11,7,"00110006"
"14.123.59.128",11,7,"00110006"
"14.123.60.0",11,7,"00110006"
"14.123.60.128",11,7,"00110006"
"14.123.61.0",11,7,"00110006"
"14.123.61.128",11,7,"00110006"
"14.123.62.0",11,7,"00110006"
"14.123.62.128",11,7,"00110006"
"14.123.63.0",11,7,"00110006"
"14.123.63.128",11,7,"00110006"
"14.144.0.0",11,7,"00110006"
"14.144.0.128",11,7,"00110006"
"14.144.1.0",11,7,"00110006"
"14.144.1.128",11,7,"00110006"
"14.144.2.0",11,7,"00110006"
"14.144.2.128",11,7,"00110006"
"14.144.3.0",11,7,"00110006"
"14.144.3.128",11,7,"00110006"
"14.144.4.0",11,7,"00110006"
"14.144.4.128",11,7,"00110006"
"14.144.5.0",11,7,"00110006"
"14.144.5.128",11,7,"00110006"
"14.144.6.0",11,7,"00110006"
"14.144.6.128",11,7,"00110006"
"14.144.7.0",11,7,"00110006"
"14.144.7.128",11,7,"00110006"
"14.144.8.0",11,7,"00110006"
"14.144.8.128",11,7,"00110006"
"14.144.9.0",11,7,"00110006"
"14.144.9.128",11,7,"00110006"
"14.144.10.0",11,7,"00110006"
"14.144.10.128",11,7,"00110006"
"14.144.11.0",11,7,"00110006"
"14.144.11.128",11,7,"00110006"
"14.144.12.0",11,7,"00110006"
"14.144.12.128",11,7,"00110006"
"14.144.13.0",11,7,"00110006"
"14.144.13.128",11,7,"00110006"
"14.144.14.0",11,7,"00110006"
"14.144.14.128",11,7,"00110006"
"14.144.15.0",11,7,"00110006"
"14.144.15.128",11,7,"00110006"
"14.144.16.0",11,7,"00110006"
"14.144.16.128",11,7,"00110006"
"14.144.17.0",11,7,"00110006"
"14.144.17.128",11,7,"00110006"
"14.144.18.0",11,7,"00110006"
"14.144.18.128",11,7,"00110006"
"14.144.19.0",11,7,"00110006"
"14.144.19.128",11,7,"00110006"
"14.144.20.0",11,7,"00110006"
"14.144.20.128",11,7,"00110006"
"14.144.21.0",11,7,"00110006"
"14.144.21.128",11,7,"00110006"
